center_freq,average,start,end,congestion,start,end
155312000.0,-5.123511049999999,2019-05-02 07:40:50,2019-05-02 07:41:50,,,
155312000.0,-5.217722926666667,2019-05-02 07:41:40,2019-05-02 07:42:40,,,
155312000.0,-6.302469039999999,2019-05-02 07:42:30,2019-05-02 07:43:30,,,
155312000.0,-7.277583134482759,2019-05-02 07:43:20,2019-05-02 07:44:20,,,
155312000.0,-7.086793979999999,2019-05-02 07:44:10,2019-05-02 07:45:10,,,
155312000.0,-6.868972426666668,2019-05-02 07:45:00,2019-05-02 07:46:00,,,
155312000.0,-7.30623036,2019-05-02 07:45:50,2019-05-02 07:46:50,,,
155312000.0,-7.200044456666666,2019-05-02 07:46:40,2019-05-02 07:47:40,,,
155312000.0,-7.621067496551724,2019-05-02 07:47:30,2019-05-02 07:48:30,,,
155312000.0,-8.22097389666667,2019-05-02 07:48:20,2019-05-02 07:49:20,,,
155312000.0,-7.802632026666668,2019-05-02 07:49:10,2019-05-02 07:50:10,,,
155312000.0,-7.266734680000002,2019-05-02 07:50:00,2019-05-02 07:51:00,,,
155312000.0,-7.4698017100000005,2019-05-02 07:50:50,2019-05-02 07:51:50,,,
155312000.0,-7.161749072413793,2019-05-02 07:51:40,2019-05-02 07:52:40,,,
155312000.0,-6.888206586206897,2019-05-02 07:52:30,2019-05-02 07:53:30,,,
155312000.0,-7.322830640000001,2019-05-02 07:53:20,2019-05-02 07:54:20,,,
155312000.0,-7.427758333333333,2019-05-02 07:54:10,2019-05-02 07:55:10,,,
155312000.0,-6.84019715,2019-05-02 07:55:00,2019-05-02 07:56:00,,,
155312000.0,-6.990669779310344,2019-05-02 07:55:50,2019-05-02 07:56:50,,,
155312000.0,-7.702214533333333,2019-05-02 07:56:40,2019-05-02 07:57:40,,,
155312000.0,-7.844038100000001,2019-05-02 07:57:30,2019-05-02 07:58:30,,,
155312000.0,-7.109787473333336,2019-05-02 07:58:20,2019-05-02 07:59:20,,,
155312000.0,-7.431720203333334,2019-05-02 07:59:10,2019-05-02 08:00:10,,,
155312000.0,-7.306015041379312,2019-05-02 08:00:00,2019-05-02 08:01:00,,,
155312000.0,-6.957131363333333,2019-05-02 08:00:50,2019-05-02 08:01:50,,,
155312000.0,-7.659939103333333,2019-05-02 08:01:40,2019-05-02 08:02:40,,,
155312000.0,-8.19497012,2019-05-02 08:02:30,2019-05-02 08:03:30,,,
155312000.0,-8.611534275862072,2019-05-02 08:03:20,2019-05-02 08:04:20,,,
155312000.0,-8.052310093333334,2019-05-02 08:04:10,2019-05-02 08:05:10,,,
155312000.0,-7.985755253333335,2019-05-02 08:05:00,2019-05-02 08:06:00,,,
155312000.0,-8.23273835,2019-05-02 08:05:50,2019-05-02 08:06:50,,,
155312000.0,-8.038518496666667,2019-05-02 08:06:40,2019-05-02 08:07:40,,,
155312000.0,-8.149378843333333,2019-05-02 08:07:30,2019-05-02 08:08:30,,,
155312000.0,-7.690647562068964,2019-05-02 08:08:20,2019-05-02 08:09:20,,,
155312000.0,-8.18769451,2019-05-02 08:09:10,2019-05-02 08:10:10,,,
155312000.0,-7.784265616666667,2019-05-02 08:10:00,2019-05-02 08:11:00,,,
155312000.0,-7.984414559999999,2019-05-02 08:10:50,2019-05-02 08:11:50,,,
155312000.0,-7.676170075862072,2019-05-02 08:11:40,2019-05-02 08:12:40,,,
155312000.0,-7.503360223333333,2019-05-02 08:12:30,2019-05-02 08:13:30,,,
155312000.0,-7.605434540000002,2019-05-02 08:13:20,2019-05-02 08:14:20,,,
155312000.0,-8.064841503333334,2019-05-02 08:14:10,2019-05-02 08:15:10,,,
155312000.0,-8.006630600000001,2019-05-02 08:15:00,2019-05-02 08:16:00,,,
155312000.0,-7.704594193103447,2019-05-02 08:15:50,2019-05-02 08:16:50,,,
155312000.0,-7.813650936666666,2019-05-02 08:16:40,2019-05-02 08:17:40,,,
155312000.0,-7.880993606666666,2019-05-02 08:17:30,2019-05-02 08:18:30,,,
155312000.0,-7.704237013333334,2019-05-02 08:18:20,2019-05-02 08:19:20,,,
155312000.0,-7.805209165517241,2019-05-02 08:19:10,2019-05-02 08:20:10,,,
155312000.0,-7.317293430000002,2019-05-02 08:20:00,2019-05-02 08:21:00,,,
155312000.0,-7.428774556666666,2019-05-02 08:20:50,2019-05-02 08:21:50,,,
155312000.0,-8.506110716666667,2019-05-02 08:21:40,2019-05-02 08:22:40,,,
155312000.0,-8.191320550000002,2019-05-02 08:22:30,2019-05-02 08:23:30,,,
155312000.0,-7.863850068965517,2019-05-02 08:23:20,2019-05-02 08:24:20,,,
155312000.0,-7.885315573333334,2019-05-02 08:24:10,2019-05-02 08:25:10,,,
155312000.0,-8.706593190000003,2019-05-02 08:25:00,2019-05-02 08:26:00,,,
155312000.0,-8.032085733333334,2019-05-02 08:25:50,2019-05-02 08:26:50,,,
155312000.0,-8.227072920000001,2019-05-02 08:26:40,2019-05-02 08:27:40,,,
155312000.0,-8.04364592413793,2019-05-02 08:27:30,2019-05-02 08:28:30,,,
155312000.0,-7.7817463500000015,2019-05-02 08:28:20,2019-05-02 08:29:20,,,
155312000.0,-8.047450833333333,2019-05-02 08:29:10,2019-05-02 08:30:10,,,
155312000.0,-7.278290663333333,2019-05-02 08:30:00,2019-05-02 08:31:00,,,
155312000.0,-8.51945773103448,2019-05-02 08:30:50,2019-05-02 08:31:50,,,
155312000.0,-7.772424158620688,2019-05-02 08:31:40,2019-05-02 08:32:40,,,
155312000.0,-8.126339726666666,2019-05-02 08:32:30,2019-05-02 08:33:30,,,
155312000.0,-7.691841686666667,2019-05-02 08:33:20,2019-05-02 08:34:20,,,
155312000.0,-8.059530839999999,2019-05-02 08:34:10,2019-05-02 08:35:10,,,
155312000.0,-7.349724082758623,2019-05-02 08:35:00,2019-05-02 08:36:00,,,
155312000.0,-8.293413083333336,2019-05-02 08:35:50,2019-05-02 08:36:50,,,
155312000.0,-7.629888489999999,2019-05-02 08:36:40,2019-05-02 08:37:40,,,
155312000.0,-7.9980240999999985,2019-05-02 08:37:30,2019-05-02 08:38:30,,,
155312000.0,-7.686170736666668,2019-05-02 08:38:20,2019-05-02 08:39:20,,,
155312000.0,-7.672984155172412,2019-05-02 08:39:10,2019-05-02 08:40:10,,,
155312000.0,-8.084396713333334,2019-05-02 08:40:00,2019-05-02 08:41:00,,,
155312000.0,-7.677146906666667,2019-05-02 08:40:50,2019-05-02 08:41:50,,,
155312000.0,-7.520243799999999,2019-05-02 08:41:40,2019-05-02 08:42:40,,,
155312000.0,-8.094083672413792,2019-05-02 08:42:30,2019-05-02 08:43:30,,,
155312000.0,-7.714978766666669,2019-05-02 08:43:20,2019-05-02 08:44:20,,,
155312000.0,-7.863970486666665,2019-05-02 08:44:10,2019-05-02 08:45:10,,,
155312000.0,-7.7900329866666675,2019-05-02 08:45:00,2019-05-02 08:46:00,,,
155312000.0,-7.877474410344826,2019-05-02 08:45:50,2019-05-02 08:46:50,,,
155312000.0,-7.829233186666668,2019-05-02 08:46:40,2019-05-02 08:47:40,,,
155312000.0,-7.928441940000002,2019-05-02 08:47:30,2019-05-02 08:48:30,,,
155312000.0,-8.012781186666666,2019-05-02 08:48:20,2019-05-02 08:49:20,,,
155312000.0,-7.1881691933333345,2019-05-02 08:49:10,2019-05-02 08:50:10,,,
155312000.0,-7.618146744827586,2019-05-02 08:50:00,2019-05-02 08:51:00,,,
155312000.0,-8.092310200000002,2019-05-02 08:50:50,2019-05-02 08:51:50,,,
155312000.0,-7.772742946666668,2019-05-02 08:51:40,2019-05-02 08:52:40,,,
155312000.0,-8.415139263333334,2019-05-02 08:52:30,2019-05-02 08:53:30,,,
155312000.0,-8.35714163448276,2019-05-02 08:53:20,2019-05-02 08:54:20,,,
155312000.0,-8.18640126551724,2019-05-02 08:54:10,2019-05-02 08:55:10,,,
155312000.0,-7.779615519999999,2019-05-02 08:55:00,2019-05-02 08:56:00,,,
155312000.0,-7.901578970000002,2019-05-02 08:55:50,2019-05-02 08:56:50,,,
155312000.0,-7.8713034166666676,2019-05-02 08:56:40,2019-05-02 08:57:40,,,
155312000.0,-7.745818272413792,2019-05-02 08:57:30,2019-05-02 08:58:30,,,
155312000.0,-8.224571810000002,2019-05-02 08:58:20,2019-05-02 08:59:20,,,
155312000.0,-6.590203333333333,2019-05-02 08:59:10,2019-05-02 09:00:10,,,
155312000.0,-8.020593409999998,2019-05-02 09:00:00,2019-05-02 09:01:00,,,
155312000.0,-8.736196331034481,2019-05-02 09:00:50,2019-05-02 09:01:50,,,
155312000.0,-8.221903906896552,2019-05-02 09:01:40,2019-05-02 09:02:40,,,
155312000.0,-7.942291153333334,2019-05-02 09:02:30,2019-05-02 09:03:30,,,
155312000.0,-7.401890086666668,2019-05-02 09:03:20,2019-05-02 09:04:20,,,
155312000.0,-7.7177004600000005,2019-05-02 09:04:10,2019-05-02 09:05:10,,,
155312000.0,-7.890879734482759,2019-05-02 09:05:00,2019-05-02 09:06:00,,,
155312000.0,-7.866675917241381,2019-05-02 09:05:50,2019-05-02 09:06:50,,,
155312000.0,-8.48977012,2019-05-02 09:06:40,2019-05-02 09:07:40,,,
155312000.0,-7.794264476666666,2019-05-02 09:07:30,2019-05-02 09:08:30,,,
155312000.0,-7.383068966666666,2019-05-02 09:08:20,2019-05-02 09:09:20,,,
