center_freq,average,start,end,congestion,start,end
155525000.0,-6.912034688,2019-04-30 09:20:50,2019-04-30 09:21:50,,,
155525000.0,-4.8983507,2019-04-30 09:21:40,2019-04-30 09:22:40,,,
155312000.0,-7.114240166666666,2019-04-30 09:21:40,2019-04-30 09:22:40,,,
155312000.0,-7.267725532142857,2019-04-30 09:22:30,2019-04-30 09:23:30,,,
155312000.0,-7.5269789566666665,2019-04-30 09:23:20,2019-04-30 09:24:20,,,
155312000.0,-6.991934999999999,2019-04-30 09:24:10,2019-04-30 09:25:10,,,
155312000.0,-7.680861956666665,2019-04-30 09:25:00,2019-04-30 09:26:00,,,
155312000.0,-6.971286186666664,2019-04-30 09:25:50,2019-04-30 09:26:50,,,
155312000.0,2.444935709999999,2019-04-30 09:26:40,2019-04-30 09:27:40,8.0,2019-04-30 09:26:40,2019-04-30 09:27:40
155312000.0,-3.0355436366666675,2019-04-30 09:27:30,2019-04-30 09:28:30,4.0,2019-04-30 09:27:30,2019-04-30 09:28:30
155312000.0,-8.826981603448276,2019-04-30 09:28:20,2019-04-30 09:29:20,,,
155312000.0,-6.959712233333333,2019-04-30 09:29:10,2019-04-30 09:30:10,,,
155312000.0,-6.473663416666668,2019-04-30 09:30:00,2019-04-30 09:31:00,,,
155312000.0,-6.565412463333333,2019-04-30 09:30:50,2019-04-30 09:31:50,,,
155312000.0,-6.23957866,2019-04-30 09:31:40,2019-04-30 09:32:40,,,
155312000.0,-6.76942593448276,2019-04-30 09:32:30,2019-04-30 09:33:30,,,
155312000.0,17.237089323333333,2019-04-30 09:33:20,2019-04-30 09:34:20,20.0,2019-04-30 09:33:20,2019-04-30 09:34:20
155312000.0,-5.280392026666667,2019-04-30 09:34:10,2019-04-30 09:35:10,3.0,2019-04-30 09:34:10,2019-04-30 09:35:10
155312000.0,-7.788465003333334,2019-04-30 09:35:00,2019-04-30 09:36:00,,,
155312000.0,-7.138540306666666,2019-04-30 09:35:50,2019-04-30 09:36:50,,,
155312000.0,-7.302711465517241,2019-04-30 09:36:40,2019-04-30 09:37:40,,,
155312000.0,-7.150369993333333,2019-04-30 09:37:30,2019-04-30 09:38:30,,,
155312000.0,-7.548789629999998,2019-04-30 09:38:20,2019-04-30 09:39:20,,,
155312000.0,-3.716912766666667,2019-04-30 09:39:10,2019-04-30 09:40:10,4.0,2019-04-30 09:39:10,2019-04-30 09:40:10
155312000.0,-0.9492382666666662,2019-04-30 09:40:00,2019-04-30 09:41:00,7.0,2019-04-30 09:40:00,2019-04-30 09:41:00
155312000.0,-6.819492806896551,2019-04-30 09:40:50,2019-04-30 09:41:50,,,
