localdatetime,predict
2019-04-17-15-14,0.21744570136070251
2019-04-17-15-15,0.2297423928976059
2019-04-17-15-16,0.18448849022388458
2019-04-17-15-17,0.18970008194446564
2019-04-17-15-18,0.19870395958423615
2019-04-17-15-19,0.22793357074260712
2019-04-17-15-20,0.19942530989646912
2019-04-17-15-21,0.21198448538780212
2019-04-17-15-22,0.20104843378067017
2019-04-17-15-23,0.20373468101024628
2019-04-17-15-24,0.20257875323295593
2019-04-17-15-25,0.17786423861980438
2019-04-17-15-26,0.1813354641199112
2019-04-17-15-27,0.19124267995357513
2019-04-17-15-28,0.1810939759016037
2019-04-17-15-29,0.17841948568820953
2019-04-17-15-30,0.21502923965454102
2019-04-17-15-31,0.1889718621969223
2019-04-17-15-32,0.19884809851646423
2019-04-17-15-33,0.20617790520191193
2019-04-17-15-34,0.2393576055765152
2019-04-17-15-35,0.2008690983057022
2019-04-17-15-36,0.23668527603149414
2019-04-17-15-37,0.20885971188545227
2019-04-17-15-38,0.16992799937725067
2019-04-17-15-39,0.18553747236728668
2019-04-17-15-40,0.1708553433418274
2019-04-17-15-41,0.20506033301353455
2019-04-17-15-42,0.28040483593940735
2019-04-17-15-43,0.17100276052951813
2019-04-17-15-44,0.24189405143260956
2019-04-17-15-45,0.2314235270023346
2019-04-17-15-46,0.216029092669487
2019-04-17-15-47,0.19942450523376465
2019-04-17-15-48,0.21638573706150055
2019-04-17-15-49,0.18302695453166962
2019-04-17-15-50,0.18753282725811005
2019-04-17-15-51,0.20286428928375244
2019-04-17-15-52,0.17916040122509003
2019-04-17-15-53,0.21033838391304016
2019-04-17-15-54,0.21283796429634094
2019-04-17-15-55,0.1823166012763977
2019-04-17-15-56,0.2164362221956253
2019-04-17-15-57,0.1952374428510666
2019-04-17-15-58,0.20339076220989227
2019-04-17-15-59,0.2416660636663437
2019-04-17-16-00,0.2113627791404724
2019-04-17-16-01,0.17517812550067902
2019-04-17-16-02,0.24131225049495697
2019-04-17-16-03,0.20158158242702484
2019-04-17-16-04,0.1862189620733261
2019-04-17-16-05,0.21273133158683777
2019-04-17-16-06,0.2089468240737915
2019-04-17-16-07,0.18369704484939575
2019-04-17-16-08,0.1935485303401947
2019-04-17-16-09,0.20037825405597687
2019-04-17-16-10,0.18038779497146606
2019-04-17-16-11,0.23031799495220184
2019-04-17-16-12,0.24960845708847046
2019-04-17-16-13,0.196259006857872
2019-04-17-16-14,0.20693030953407288
2019-04-17-16-15,0.19059348106384277
2019-04-17-16-16,0.20347732305526733
2019-04-17-16-17,0.17026717960834503
2019-04-17-16-18,0.17972992360591888
2019-04-17-16-19,0.19130343198776245
2019-04-17-16-20,0.20861515402793884
2019-04-17-16-21,0.2038419544696808
2019-04-17-16-22,0.19012078642845154
2019-04-17-16-23,0.210780069231987
2019-04-17-16-24,0.2110447734594345
2019-04-17-16-25,0.17967252433300018
2019-04-17-16-26,0.19428353011608124
2019-04-17-16-27,0.18786783516407013
2019-04-17-16-28,0.16650551557540894
2019-04-17-16-29,0.1786220222711563
2019-04-17-16-30,0.17483298480510712
2019-04-17-16-31,0.16045361757278442
2019-04-17-16-32,0.15902318060398102
2019-04-17-16-33,0.17482849955558777
2019-04-17-16-34,0.1745285540819168
2019-04-17-16-35,0.16087117791175842
2019-04-17-16-36,0.15040160715579987
2019-04-17-16-37,0.14263175427913666
2019-04-17-16-38,0.16449369490146637
2019-04-17-16-39,0.1612970530986786
2019-04-17-16-40,0.14888854324817657
2019-04-17-16-41,0.14673113822937012
2019-04-17-16-42,0.14341561496257782
2019-04-17-16-43,0.1462678164243698
2019-04-17-16-44,0.1479528695344925
2019-04-17-16-45,0.20302030444145203
2019-04-17-16-46,0.17058345675468445
2019-04-17-16-47,0.14010995626449585
2019-04-17-16-48,0.14294962584972382
2019-04-17-16-49,0.1417175531387329
2019-04-17-16-50,0.1474512219429016
2019-04-17-16-51,0.15675769746303558
2019-04-17-16-52,0.15755516290664673
2019-04-17-16-53,0.18574492633342743
2019-04-17-16-54,0.19089879095554352
2019-04-17-16-55,0.17121712863445282
2019-04-17-16-56,0.16360236704349518
2019-04-17-16-57,0.16376587748527527
2019-04-17-16-58,0.16520513594150543
2019-04-17-16-59,0.13599643111228943
2019-04-17-17-00,0.16401274502277374
2019-04-17-17-01,0.1479480117559433
2019-04-17-17-02,0.16051828861236572
2019-04-17-17-03,0.15637296438217163
2019-04-17-17-04,0.2129039764404297
2019-04-17-17-05,0.16309022903442383
2019-04-17-17-06,0.1525806486606598
2019-04-17-17-07,0.17094506323337555
2019-04-17-17-08,0.17321927845478058
2019-04-17-17-09,0.16177493333816528
2019-04-17-17-10,0.18567629158496857
2019-04-17-17-11,0.15775372087955475
2019-04-17-17-12,0.18896988034248352
2019-04-17-17-13,0.17962878942489624
2019-04-17-17-14,0.19394579529762268
2019-04-17-17-15,0.1705830991268158
2019-04-17-17-16,0.15891040861606598
2019-04-17-17-17,0.17942818999290466
2019-04-17-17-18,0.19834986329078674
2019-04-17-17-19,0.15946006774902344
2019-04-17-17-20,0.16435104608535767
2019-04-17-17-21,0.164870023727417
2019-04-17-17-22,0.19568665325641632
