localdatetime,predict
2019-04-20-10-04,0.1578841656446457
2019-04-20-10-05,0.16869516670703888
2019-04-20-10-06,0.16327956318855286
2019-04-20-10-07,0.1435374915599823
2019-04-20-10-08,0.14491677284240723
2019-04-20-10-09,0.15224522352218628
2019-04-20-10-10,0.13989819586277008
2019-04-20-10-11,0.14837326109409332
2019-04-20-10-12,0.16521014273166656
2019-04-20-10-13,0.1668998897075653
2019-04-20-10-14,0.15887320041656494
2019-04-20-10-15,0.15484203398227692
2019-04-20-10-16,0.16949917376041412
2019-04-20-10-17,0.17510122060775757
2019-04-20-10-18,0.18388712406158447
2019-04-20-10-19,0.17120292782783508
2019-04-20-10-20,0.19653479754924774
2019-04-20-10-21,0.18281368911266327
2019-04-20-10-22,0.19385690987110138
2019-04-20-10-23,0.17222994565963745
2019-04-20-10-24,0.17133548855781555
2019-04-20-10-25,0.1948920041322708
2019-04-20-10-26,0.1866009533405304
2019-04-20-10-27,0.1522691249847412
2019-04-20-10-28,0.18334616720676422
2019-04-20-10-29,0.1713794767856598
2019-04-20-10-30,0.18092511594295502
2019-04-20-10-31,0.1558692902326584
2019-04-20-10-32,0.17272056639194489
2019-04-20-10-33,0.17520461976528168
2019-04-20-10-34,0.17896875739097595
2019-04-20-10-35,0.15959016978740692
2019-04-20-10-36,0.1703256517648697
2019-04-20-10-37,0.15253424644470215
2019-04-20-10-38,0.14496606588363647
2019-04-20-10-39,0.18958327174186707
2019-04-20-10-40,0.1663375347852707
2019-04-20-10-41,0.14172662794589996
2019-04-20-10-42,0.15015923976898193
2019-04-20-10-43,0.16006410121917725
2019-04-20-10-44,0.14496120810508728
2019-04-20-10-45,0.1629798412322998
2019-04-20-10-46,0.17843827605247498
2019-04-20-10-47,0.17386861145496368
2019-04-20-10-48,0.17082414031028748
2019-04-20-10-49,0.17068389058113098
2019-04-20-10-50,0.16999495029449463
2019-04-20-10-51,0.18233227729797363
2019-04-20-10-52,0.1674153059720993
2019-04-20-10-53,0.15936832129955292
2019-04-20-10-54,0.1784588098526001
2019-04-20-10-55,0.19037772715091705
2019-04-20-10-56,0.18670111894607544
2019-04-20-10-57,0.20410314202308655
2019-04-20-10-58,0.18406637012958527
2019-04-20-10-59,0.1662038117647171
2019-04-20-11-00,0.1546882688999176
2019-04-20-11-01,0.1603958010673523
2019-04-20-11-02,0.15601767599582672
2019-04-20-11-03,0.15712261199951172
2019-04-20-11-04,0.16667239367961884
2019-04-20-11-05,0.1559412181377411
2019-04-20-11-06,0.17185650765895844
2019-04-20-11-07,0.16053470969200134
2019-04-20-11-08,0.1530025750398636
2019-04-20-11-09,0.16128626465797424
2019-04-20-11-10,0.1619550585746765
2019-04-20-11-11,0.1478269100189209
2019-04-20-11-12,0.1704925000667572
2019-04-20-11-13,0.15901103615760803
2019-04-20-11-14,0.15270324051380157
2019-04-20-11-15,0.16223478317260742
2019-04-20-11-16,0.16296930611133575
2019-04-20-11-17,0.15810810029506683
2019-04-20-11-18,0.17554785311222076
2019-04-20-11-19,0.16202470660209656
2019-04-20-11-20,0.15753890573978424
2019-04-20-11-21,0.16037395596504211
2019-04-20-11-22,0.15247927606105804
2019-04-20-11-23,0.141612708568573
2019-04-20-11-24,0.16510054469108582
2019-04-20-11-25,0.16144363582134247
2019-04-20-11-26,0.16035085916519165
2019-04-20-11-27,0.17616134881973267
2019-04-20-11-28,0.16766448318958282
2019-04-20-11-29,0.16611559689044952
2019-04-20-11-30,0.16827073693275452
2019-04-20-11-31,0.15826140344142914
2019-04-20-11-32,0.1711304932832718
2019-04-20-11-33,0.1543557047843933
2019-04-20-11-34,0.15792734920978546
2019-04-20-11-35,0.16686592996120453
2019-04-20-11-36,0.1715310961008072
2019-04-20-11-37,0.17481929063796997
2019-04-20-11-38,0.1563502848148346
2019-04-20-11-39,0.15867799520492554
2019-04-20-11-40,0.16281704604625702
2019-04-20-11-41,0.18583372235298157
2019-04-20-11-42,0.17382138967514038
2019-04-20-11-43,0.14440806210041046
2019-04-20-11-44,0.1476004421710968
2019-04-20-11-45,0.18307170271873474
2019-04-20-11-46,0.16116799414157867
2019-04-20-11-47,0.1575227677822113
2019-04-20-11-48,0.2062368541955948
2019-04-20-11-49,0.15948916971683502
2019-04-20-11-50,0.1492140293121338
2019-04-20-11-51,0.1581507921218872
2019-04-20-11-52,0.1532718688249588
2019-04-20-11-53,0.15348178148269653
2019-04-20-11-54,0.16173167526721954
2019-04-20-11-55,0.16228294372558594
2019-04-20-11-56,0.14637920260429382
2019-04-20-11-57,0.16153372824192047
2019-04-20-11-58,0.15209843218326569
2019-04-20-11-59,0.15283574163913727
2019-04-20-12-00,0.1607327163219452
2019-04-20-12-01,0.16619828343391418
2019-04-20-12-02,0.16036251187324524
2019-04-20-12-03,0.15950533747673035
2019-04-20-12-04,0.16671109199523926
2019-04-20-12-05,0.15064674615859985
2019-04-20-12-06,0.1612149178981781
2019-04-20-12-07,0.1623941957950592
2019-04-20-12-08,0.17587782442569733
2019-04-20-12-09,0.1722819060087204
2019-04-20-12-10,0.1478995978832245
2019-04-20-12-11,0.1421154886484146
2019-04-20-12-12,0.14547467231750488
2019-04-20-12-13,0.1463116556406021
2019-04-20-12-14,0.15006014704704285
2019-04-20-12-15,0.1567850559949875
2019-04-20-12-16,0.1488720029592514
2019-04-20-12-17,0.1512405425310135
2019-04-20-12-18,0.18324950337409973
2019-04-20-12-19,0.15796753764152527
2019-04-20-12-20,0.15718314051628113
2019-04-20-12-21,0.16917915642261505
2019-04-20-12-22,0.1499834656715393
2019-04-20-12-23,0.14858441054821014
2019-04-20-12-24,0.17025236785411835
2019-04-20-12-25,0.16137021780014038
2019-04-20-12-26,0.15692049264907837
2019-04-20-12-27,0.16327719390392303
2019-04-20-12-28,0.16160862147808075
2019-04-20-12-29,0.14481991529464722
2019-04-20-12-30,0.17190155386924744
2019-04-20-12-31,0.22177287936210632
2019-04-20-12-32,0.1555795669555664
2019-04-20-12-33,0.1490020751953125
2019-04-20-12-34,0.17190368473529816
2019-04-20-12-35,0.17028990387916565
2019-04-20-12-36,0.19604305922985077
2019-04-20-12-37,0.21405692398548126
2019-04-20-12-38,0.18993264436721802
2019-04-20-12-39,0.16558143496513367
2019-04-20-12-40,0.16898882389068604
2019-04-20-12-41,0.1607843041419983
2019-04-20-12-42,0.15484413504600525
2019-04-20-12-43,0.16103655099868774
2019-04-20-12-44,0.1521889716386795
2019-04-20-12-45,0.14803121984004974
2019-04-20-12-46,0.17277027666568756
2019-04-20-12-47,0.16157041490077972
2019-04-20-12-48,0.15898248553276062
2019-04-20-12-49,0.1574496626853943
2019-04-20-12-50,0.14934827387332916
2019-04-20-12-51,0.15483200550079346
2019-04-20-12-52,0.16623231768608093
2019-04-20-12-53,0.14904150366783142
2019-04-20-12-54,0.15866868197917938
2019-04-20-12-55,0.15252313017845154
2019-04-20-12-56,0.1555076539516449
2019-04-20-12-57,0.17638733983039856
2019-04-20-12-58,0.1546231508255005
2019-04-20-12-59,0.16216544806957245
2019-04-20-13-00,0.16728977859020233
2019-04-20-13-01,0.1944274753332138
2019-04-20-13-02,0.15398824214935303
2019-04-20-13-03,0.18829837441444397
2019-04-20-13-04,0.16361099481582642
2019-04-20-13-05,0.16950957477092743
2019-04-20-13-06,0.16266776621341705
2019-04-20-13-07,0.1518344283103943
2019-04-20-13-08,0.1758377104997635
2019-04-20-13-09,0.17706161737442017
2019-04-20-13-10,0.164949432015419
2019-04-20-13-11,0.15195055305957794
2019-04-20-13-12,0.15782378613948822
2019-04-20-13-13,0.16157546639442444
2019-04-20-13-14,0.1435513198375702
2019-04-20-13-15,0.16843123733997345
2019-04-20-13-16,0.15801087021827698
2019-04-20-13-17,0.16358979046344757
2019-04-20-13-18,0.17014622688293457
2019-04-20-13-19,0.15479396283626556
2019-04-20-13-20,0.15604053437709808
2019-04-20-13-21,0.19522789120674133
2019-04-20-13-22,0.2013072669506073
2019-04-20-13-23,0.13905318081378937
2019-04-20-13-24,0.15376393496990204
2019-04-20-13-25,0.15635745227336884
2019-04-20-13-26,0.14541609585285187
2019-04-20-13-27,0.15247486531734467
2019-04-20-13-28,0.1527882069349289
2019-04-20-13-29,0.13112197816371918
2019-04-20-13-30,0.1426127851009369
2019-04-20-13-31,0.15693299472332
2019-04-20-13-32,0.1606147289276123
2019-04-20-13-33,0.18511158227920532
2019-04-20-13-34,0.17289331555366516
2019-04-20-13-35,0.16577975451946259
2019-04-20-13-36,0.1393544226884842
2019-04-20-13-37,0.20006521046161652
2019-04-20-13-38,0.1768740713596344
2019-04-20-13-39,0.1528725028038025
2019-04-20-13-40,0.16747817397117615
2019-04-20-13-41,0.1610410213470459
2019-04-20-13-42,0.16664505004882812
2019-04-20-13-43,0.19988442957401276
2019-04-20-13-44,0.17255741357803345
2019-04-20-13-45,0.17166352272033691
2019-04-20-13-46,0.16186721622943878
2019-04-20-13-47,0.1524074822664261
2019-04-20-13-48,0.1748468279838562
2019-04-20-13-49,0.17070843279361725
2019-04-20-13-50,0.15175792574882507
2019-04-20-13-51,0.16232149302959442
2019-04-20-13-52,0.17197349667549133
2019-04-20-13-53,0.17077939212322235
2019-04-20-13-54,0.14596141874790192
2019-04-20-13-55,0.14943566918373108
2019-04-20-13-56,0.15125755965709686
2019-04-20-13-57,0.15348339080810547
2019-04-20-13-58,0.15818199515342712
2019-04-20-13-59,0.16394294798374176
2019-04-20-14-00,0.17453500628471375
2019-04-20-14-01,0.19576919078826904
2019-04-20-14-02,0.16198082268238068
2019-04-20-14-03,0.17873528599739075
2019-04-20-14-04,0.165802463889122
2019-04-20-14-05,0.208022803068161
2019-04-20-14-06,0.164827361702919
2019-04-20-14-07,0.18232925236225128
2019-04-20-14-08,0.17758333683013916
2019-04-20-14-09,0.1710376739501953
2019-04-20-14-10,0.15883710980415344
2019-04-20-14-11,0.19336484372615814
2019-04-20-14-12,0.20700128376483917
2019-04-20-14-13,0.19251437485218048
2019-04-20-14-14,0.16056321561336517
2019-04-20-14-15,0.1855832040309906
2019-04-20-14-16,0.1638164520263672
2019-04-20-14-17,0.15577352046966553
2019-04-20-14-18,0.15600574016571045
2019-04-20-14-19,0.1622239500284195
2019-04-20-14-20,0.1441589593887329
2019-04-20-14-21,0.1581719070672989
2019-04-20-14-22,0.15152743458747864
2019-04-20-14-23,0.14396928250789642
2019-04-20-14-24,0.14575253427028656
2019-04-20-14-25,0.17782002687454224
2019-04-20-14-26,0.15005861222743988
2019-04-20-14-27,0.1487826257944107
2019-04-20-14-28,0.1591317057609558
2019-04-20-14-29,0.15249896049499512
2019-04-20-14-30,0.15580236911773682
2019-04-20-14-31,0.19339197874069214
2019-04-20-14-33,0.15378597378730774
2019-04-20-14-34,0.16741225123405457
2019-04-20-14-35,0.17379620671272278
2019-04-20-14-36,0.16842889785766602
2019-04-20-14-37,0.15275737643241882
2019-04-20-14-38,0.1814618706703186
2019-04-20-14-39,0.1459788978099823
2019-04-20-14-40,0.15092970430850983
2019-04-20-14-41,0.15107712149620056
2019-04-20-14-42,0.1578119993209839
2019-04-20-14-43,0.14219003915786743
2019-04-20-14-44,0.15481512248516083
2019-04-20-14-45,0.15357792377471924
2019-04-20-14-46,0.15951870381832123
2019-04-20-14-47,0.164689838886261
2019-04-20-14-48,0.1506771743297577
2019-04-20-14-49,0.17055317759513855
2019-04-20-14-50,0.19572673738002777
2019-04-20-14-51,0.14431780576705933
2019-04-20-14-52,0.17385198175907135
2019-04-20-14-53,0.1587344855070114
2019-04-20-14-54,0.16108167171478271
2019-04-20-14-55,0.16670583188533783
2019-04-20-14-56,0.15765510499477386
2019-04-20-14-57,0.15476465225219727
2019-04-20-14-58,0.14088183641433716
2019-04-20-14-59,0.14015242457389832
2019-04-20-15-00,0.16273188591003418
2019-04-20-15-01,0.1621510535478592
2019-04-20-15-02,0.15754540264606476
2019-04-20-15-03,0.14699001610279083
2019-04-20-15-04,0.1387675255537033
2019-04-20-15-05,0.15970630943775177
2019-04-20-15-06,0.17884588241577148
2019-04-20-15-07,0.15596844255924225
2019-04-20-15-08,0.16253744065761566
2019-04-20-15-09,0.15413737297058105
2019-04-20-15-10,0.16384558379650116
2019-04-20-15-11,0.1783720701932907
2019-04-20-15-12,0.16704435646533966
2019-04-20-15-13,0.13489119708538055
2019-04-20-15-14,0.1465757191181183
2019-04-20-15-15,0.15458880364894867
2019-04-20-15-16,0.1396191120147705
2019-04-20-15-17,0.1736898124217987
2019-04-20-15-18,0.16549403965473175
2019-04-20-15-19,0.19913004338741302
2019-04-20-15-20,0.1963580995798111
2019-04-20-15-21,0.18704967200756073
2019-04-20-15-22,0.16735054552555084
2019-04-20-15-23,0.17084357142448425
2019-04-20-15-24,0.17388220131397247
2019-04-20-15-25,0.15466910600662231
2019-04-20-15-26,0.19663502275943756
2019-04-20-15-27,0.16976463794708252
2019-04-20-15-28,0.16061584651470184
2019-04-20-15-29,0.16152480244636536
2019-04-20-15-30,0.16045843064785004
2019-04-20-15-31,0.15151529014110565
2019-04-20-15-32,0.17607873678207397
2019-04-20-15-33,0.18299295008182526
2019-04-20-15-34,0.21252813935279846
2019-04-20-15-35,0.19412364065647125
2019-04-20-15-36,0.16970238089561462
2019-04-20-15-37,0.15172724425792694
2019-04-20-15-38,0.1665913611650467
2019-04-20-15-39,0.1768859177827835
2019-04-20-15-40,0.1619904339313507
2019-04-20-15-41,0.1623326539993286
2019-04-20-15-42,0.16254140436649323
2019-04-20-15-43,0.1729157418012619
2019-04-20-15-44,0.15674468874931335
2019-04-20-15-45,0.15037749707698822
2019-04-20-15-46,0.15325236320495605
2019-04-20-15-47,0.18835629522800446
2019-04-20-15-48,0.15605315566062927
2019-04-20-15-49,0.16293004155158997
2019-04-20-15-50,0.18558409810066223
2019-04-20-15-51,0.16696955263614655
2019-04-20-15-52,0.15291953086853027
2019-04-20-15-53,0.1686364859342575
2019-04-20-15-54,0.1611088663339615
2019-04-20-15-55,0.16250170767307281
2019-04-20-15-56,0.18371598422527313
2019-04-20-15-57,0.17415064573287964
2019-04-20-15-58,0.15572796761989594
2019-04-20-15-59,0.1570529043674469
2019-04-20-16-00,0.16727563738822937
2019-04-20-16-01,0.15722067654132843
2019-04-20-16-02,0.20713363587856293
2019-04-20-16-03,0.15755301713943481
2019-04-20-16-04,0.1472792774438858
2019-04-20-16-05,0.1969127357006073
2019-04-20-16-06,0.16070066392421722
2019-04-20-16-07,0.15840966999530792
2019-04-20-16-08,0.1577587127685547
2019-04-20-16-09,0.15058694779872894
2019-04-20-16-10,0.1670091301202774
2019-04-20-16-11,0.18150325119495392
2019-04-20-16-12,0.18315844237804413
2019-04-20-16-13,0.1895975023508072
2019-04-20-16-14,0.17524850368499756
2019-04-20-16-15,0.20235984027385712
2019-04-20-16-16,0.15620172023773193
2019-04-20-16-17,0.19032180309295654
2019-04-20-16-18,0.18349096179008484
2019-04-20-16-19,0.17131222784519196
2019-04-20-16-20,0.19105125963687897
2019-04-20-16-21,0.18124829232692719
2019-04-20-16-22,0.1536943018436432
2019-04-20-16-23,0.17435690760612488
2019-04-20-16-24,0.16822879016399384
2019-04-20-16-25,0.18047532439231873
