localdatetime,predict
2019-04-21-19-28,0.1865658313035965
2019-04-21-19-29,0.16467025876045227
2019-04-21-19-30,0.1729460209608078
2019-04-21-19-31,0.16975530982017517
2019-04-21-19-32,0.14772969484329224
2019-04-21-19-33,0.15830114483833313
2019-04-21-19-34,0.14669831097126007
2019-04-21-19-35,0.14367790520191193
2019-04-21-19-36,0.14352048933506012
2019-04-21-19-37,0.13761499524116516
2019-04-21-19-38,0.13963200151920319
2019-04-21-19-39,0.1637498140335083
2019-04-21-19-40,0.17341981828212738
2019-04-21-19-41,0.13799582421779633
2019-04-21-19-42,0.13880132138729095
2019-04-21-19-43,0.15601426362991333
2019-04-21-19-44,0.13759851455688477
2019-04-21-19-45,0.12935765087604523
2019-04-21-19-46,0.12498138099908829
2019-04-21-19-47,0.12395600974559784
2019-04-21-19-48,0.14464452862739563
2019-04-21-19-49,0.10858208686113358
2019-04-21-19-50,0.11352474242448807
2019-04-21-19-51,0.14586465060710907
2019-04-21-19-52,0.12073380500078201
2019-04-21-19-53,0.11152216792106628
2019-04-21-19-54,0.1156860813498497
2019-04-21-19-55,0.10612362623214722
2019-04-21-19-56,0.10944177955389023
2019-04-21-19-57,0.13100223243236542
2019-04-21-19-58,0.11618676781654358
2019-04-21-19-59,0.14387647807598114
2019-04-21-20-00,0.14692169427871704
2019-04-21-20-01,0.12297586351633072
2019-04-21-20-02,0.11896002292633057
2019-04-21-20-03,0.1598193645477295
2019-04-21-20-04,0.13751091063022614
2019-04-21-20-05,0.14570477604866028
2019-04-21-20-06,0.09758692979812622
2019-04-21-20-07,0.09169425070285797
2019-04-21-20-08,0.12052080780267715
2019-04-21-20-09,0.13257615268230438
2019-04-21-20-10,0.09009352326393127
2019-04-21-20-11,0.10638170689344406
2019-04-21-20-12,0.10502071678638458
2019-04-21-20-13,0.11087687313556671
2019-04-21-20-14,0.12015608698129654
2019-04-21-20-15,0.0987689271569252
2019-04-21-20-16,0.14696583151817322
2019-04-21-20-17,0.10979832708835602
2019-04-21-20-18,0.1423356682062149
2019-04-21-20-19,0.133718803524971
2019-04-21-20-20,0.16287574172019958
2019-04-21-20-21,0.13351722061634064
2019-04-21-20-22,0.10010451823472977
2019-04-21-20-23,0.14116591215133667
2019-04-21-20-24,0.15886512398719788
2019-04-21-20-25,0.1321389526128769
2019-04-21-20-26,0.11640007793903351
2019-04-21-20-27,0.12549081444740295
2019-04-21-20-28,0.1492399424314499
2019-04-21-20-29,0.14717166125774384
2019-04-21-20-30,0.1682327836751938
2019-04-21-20-31,0.09180983155965805
2019-04-21-20-32,0.11212927103042603
2019-04-21-20-33,0.13189569115638733
2019-04-21-20-34,0.15982770919799805
2019-04-21-20-35,0.1380898654460907
2019-04-21-20-36,0.11911530047655106
2019-04-21-20-37,0.18248583376407623
2019-04-21-20-38,0.11306996643543243
2019-04-21-20-39,0.1433318704366684
2019-04-21-20-40,0.10332365334033966
2019-04-21-20-41,0.09323109686374664
2019-04-21-20-42,0.139476016163826
2019-04-21-20-43,0.12669944763183594
2019-04-21-20-44,0.10856352746486664
2019-04-21-20-45,0.11017455160617828
2019-04-21-20-46,0.1298634558916092
2019-04-21-20-47,0.09022050350904465
2019-04-21-20-48,0.11951874941587448
2019-04-21-20-49,0.12741750478744507
2019-04-21-20-50,0.11173524707555771
2019-04-21-20-51,0.13209129869937897
2019-04-21-20-52,0.08498036861419678
2019-04-21-20-53,0.14779072999954224
2019-04-21-20-54,0.10465066134929657
2019-04-21-20-55,0.13061533868312836
2019-04-21-20-56,0.1344185173511505
2019-04-21-20-57,0.16299590468406677
2019-04-21-20-58,0.1449459195137024
2019-04-21-20-59,0.0856199860572815
2019-04-21-21-00,0.13233359158039093
2019-04-21-21-01,0.1334691196680069
2019-04-21-21-02,0.09362509846687317
2019-04-21-21-03,0.16577517986297607
2019-04-21-21-04,0.11209016293287277
2019-04-21-21-05,0.11999157071113586
2019-04-21-21-06,0.12079167366027832
2019-04-21-21-07,0.1479184925556183
2019-04-21-21-08,0.10784909874200821
2019-04-21-21-09,0.1609216332435608
2019-04-21-21-10,0.1168183907866478
2019-04-21-21-11,0.13315443694591522
