localdatetime,predict
2019-04-24-14-17,0.21269336342811584
2019-04-24-14-18,0.21792560815811157
2019-04-24-14-19,0.19285602867603302
2019-04-24-14-20,0.19406349956989288
2019-04-24-14-21,0.2038503736257553
2019-04-24-14-22,0.17229768633842468
2019-04-24-14-23,0.19691593945026398
2019-04-24-14-24,0.21571023762226105
2019-04-24-14-25,0.18050073087215424
2019-04-24-14-26,0.18124711513519287
2019-04-24-14-27,0.2081928700208664
2019-04-24-14-28,0.19474133849143982
2019-04-24-14-29,0.22360122203826904
2019-04-24-14-30,0.18202801048755646
2019-04-24-14-31,0.16328024864196777
2019-04-24-14-32,0.18070092797279358
2019-04-24-14-33,0.19047945737838745
2019-04-24-14-34,0.18019218742847443
2019-04-24-14-35,0.24712803959846497
2019-04-24-14-36,0.17743103206157684
2019-04-24-14-37,0.17374010384082794
2019-04-24-14-38,0.1907619684934616
2019-04-24-14-39,0.2058880627155304
2019-04-24-14-40,0.1693572849035263
2019-04-24-14-41,0.20093700289726257
2019-04-24-14-42,0.24717314541339874
2019-04-24-14-43,0.17968852818012238
2019-04-24-14-44,0.192083939909935
2019-04-24-14-45,0.1763017624616623
2019-04-24-14-46,0.16912195086479187
2019-04-24-14-47,0.15866410732269287
2019-04-24-14-48,0.18381322920322418
2019-04-24-14-49,0.17329280078411102
2019-04-24-14-50,0.17536844313144684
2019-04-24-14-51,0.16929101943969727
2019-04-24-14-52,0.18930965662002563
2019-04-24-14-53,0.19511806964874268
2019-04-24-14-54,0.21723294258117676
2019-04-24-14-55,0.2103932648897171
2019-04-24-14-56,0.21386653184890747
2019-04-24-14-57,0.23856531083583832
2019-04-24-14-58,0.19802148640155792
2019-04-24-14-59,0.22981269657611847
2019-04-24-15-00,0.21601982414722443
2019-04-24-15-01,0.1995040625333786
2019-04-24-15-02,0.22453945875167847
2019-04-24-15-03,0.1997167468070984
2019-04-24-15-04,0.16595111787319183
2019-04-24-15-05,0.21633633971214294
2019-04-24-15-06,0.219020277261734
2019-04-24-15-07,0.23854143917560577
2019-04-24-15-08,0.21674378216266632
2019-04-24-15-09,0.17354999482631683
2019-04-24-15-10,0.19240780174732208
2019-04-24-15-11,0.2422582507133484
2019-04-24-15-12,0.19965291023254395
2019-04-24-15-13,0.20030365884304047
2019-04-24-15-14,0.18931137025356293
2019-04-24-15-15,0.19298048317432404
2019-04-24-15-16,0.1817544549703598
2019-04-24-15-17,0.17033305764198303
2019-04-24-15-18,0.2407984882593155
2019-04-24-15-19,0.20174501836299896
2019-04-24-15-20,0.1882675290107727
2019-04-24-15-21,0.1959153413772583
2019-04-24-15-22,0.18074771761894226
2019-04-24-15-23,0.19773638248443604
2019-04-24-15-24,0.226578488945961
2019-04-24-15-25,0.18928742408752441
2019-04-24-15-26,0.17381200194358826
2019-04-24-15-27,0.18842186033725739
2019-04-24-15-28,0.18883687257766724
2019-04-24-15-29,0.1709044873714447
2019-04-24-15-30,0.20232540369033813
2019-04-24-15-31,0.17044585943222046
2019-04-24-15-32,0.22420991957187653
2019-04-24-15-33,0.22973498702049255
2019-04-24-15-34,0.2220761924982071
2019-04-24-15-35,0.22869746387004852
2019-04-24-15-36,0.26912614703178406
2019-04-24-15-37,0.213396355509758
2019-04-24-15-38,0.254365473985672
2019-04-24-15-39,0.19030438363552094
2019-04-24-15-40,0.20785130560398102
2019-04-24-15-41,0.25084835290908813
2019-04-24-15-42,0.20985166728496552
2019-04-24-15-43,0.20444256067276
2019-04-24-15-44,0.2046983540058136
2019-04-24-15-45,0.2404356598854065
2019-04-24-15-46,0.2567541003227234
2019-04-24-15-47,0.22069112956523895
2019-04-24-15-48,0.20717141032218933
2019-04-24-15-49,0.19855454564094543
2019-04-24-15-50,0.2163093239068985
2019-04-24-15-51,0.24333707988262177
2019-04-24-15-52,0.21778401732444763
2019-04-24-15-53,0.21194836497306824
2019-04-24-15-54,0.19261710345745087
2019-04-24-15-55,0.19273902475833893
2019-04-24-15-56,0.19814147055149078
2019-04-24-15-57,0.18582303822040558
2019-04-24-15-58,0.1926974356174469
2019-04-24-15-59,0.2229251116514206
