localdatetime,predict
2019-04-16-05-50,0.13646173477172852
2019-04-16-05-51,0.1244237944483757
2019-04-16-05-52,0.1051730215549469
2019-04-16-05-53,0.14336033165454865
2019-04-16-05-54,0.14138264954090118
2019-04-16-05-55,0.10382983833551407
2019-04-16-05-56,0.13382267951965332
2019-04-16-05-57,0.12654197216033936
2019-04-16-05-58,0.11805683374404907
2019-04-16-05-59,0.12954671680927277
2019-04-16-06-00,0.1250859946012497
2019-04-16-06-01,0.11624967306852341
2019-04-16-06-02,0.13858988881111145
2019-04-16-06-03,0.1136360689997673
2019-04-16-06-04,0.12976285815238953
2019-04-16-06-05,0.14096106588840485
2019-04-16-06-06,0.14807447791099548
2019-04-16-06-07,0.1704130619764328
2019-04-16-06-08,0.20017585158348083
2019-04-16-06-09,0.1841941624879837
2019-04-16-06-10,0.14295856654644012
2019-04-16-06-11,0.16372089087963104
2019-04-16-06-12,0.1499861478805542
2019-04-16-06-13,0.17355094850063324
2019-04-16-06-14,0.16558639705181122
2019-04-16-06-15,0.15774951875209808
2019-04-16-06-16,0.15550819039344788
2019-04-16-06-17,0.16557718813419342
2019-04-16-06-18,0.15335559844970703
2019-04-16-06-19,0.15574222803115845
2019-04-16-06-20,0.18294112384319305
2019-04-16-06-21,0.16621246933937073
2019-04-16-06-22,0.1665440797805786
2019-04-16-06-23,0.2583123743534088
2019-04-16-06-24,0.19852250814437866
2019-04-16-06-25,0.14720919728279114
2019-04-16-06-26,0.17335829138755798
2019-04-16-06-27,0.17818015813827515
2019-04-16-06-28,0.15163761377334595
2019-04-16-06-29,0.16926579177379608
2019-04-16-06-30,0.16678790748119354
2019-04-16-06-31,0.15585145354270935
2019-04-16-06-32,0.17696593701839447
2019-04-16-06-33,0.1607305109500885
2019-04-16-06-34,0.1518687903881073
2019-04-16-06-35,0.1730324625968933
2019-04-16-06-36,0.1808454841375351
2019-04-16-06-37,0.16561678051948547
2019-04-16-06-38,0.16966919600963593
2019-04-16-06-39,0.17699435353279114
2019-04-16-06-40,0.17489317059516907
2019-04-16-06-41,0.16684789955615997
2019-04-16-06-42,0.1794433891773224
2019-04-16-06-43,0.1803642362356186
2019-04-16-06-44,0.18950973451137543
2019-04-16-06-45,0.1715685874223709
2019-04-16-06-46,0.16582351922988892
2019-04-16-06-47,0.18160338699817657
2019-04-16-06-48,0.1732528656721115
2019-04-16-06-49,0.205452561378479
2019-04-16-06-50,0.20108143985271454
2019-04-16-06-51,0.1619769185781479
2019-04-16-06-52,0.17012353241443634
2019-04-16-06-53,0.1731204241514206
2019-04-16-06-54,0.17413730919361115
2019-04-16-06-55,0.17268706858158112
2019-04-16-06-56,0.18279403448104858
2019-04-16-06-57,0.1805213838815689
2019-04-16-06-58,0.17777524888515472
2019-04-16-06-59,0.1895531564950943
2019-04-16-07-00,0.23618705570697784
2019-04-16-07-01,0.1850687712430954
2019-04-16-07-02,0.21089032292366028
2019-04-16-07-03,0.2148112654685974
2019-04-16-07-04,0.2050957828760147
2019-04-16-07-05,0.2064746916294098
2019-04-16-07-06,0.2004973441362381
2019-04-16-07-07,0.19536161422729492
2019-04-16-07-08,0.2001294493675232
2019-04-16-07-09,0.2117714285850525
2019-04-16-07-10,0.1822640746831894
2019-04-16-07-11,0.19157861173152924
2019-04-16-07-12,0.22066211700439453
2019-04-16-07-13,0.20033858716487885
2019-04-16-07-14,0.22035953402519226
2019-04-16-07-15,0.2138703316450119
2019-04-16-07-16,0.21683485805988312
2019-04-16-07-17,0.1966412216424942
2019-04-16-07-18,0.20605239272117615
2019-04-16-07-19,0.21610423922538757
2019-04-16-07-20,0.20302198827266693
2019-04-16-07-21,0.1840500682592392
2019-04-16-07-22,0.20578160881996155
2019-04-16-07-23,0.2016867697238922
2019-04-16-07-24,0.2147168219089508
2019-04-16-07-25,0.17827560007572174
2019-04-16-07-26,0.19361259043216705
2019-04-16-07-27,0.2198009043931961
2019-04-16-07-28,0.20296776294708252
2019-04-16-07-29,0.22813071310520172
2019-04-16-07-30,0.18935449421405792
2019-04-16-07-31,0.17698277533054352
2019-04-16-07-32,0.178588405251503
2019-04-16-07-33,0.17183732986450195
2019-04-16-07-34,0.180222287774086
2019-04-16-07-35,0.1960391402244568
2019-04-16-07-36,0.18904201686382294
2019-04-16-07-37,0.18427839875221252
2019-04-16-07-38,0.1917298287153244
2019-04-16-07-39,0.17834527790546417
2019-04-16-07-40,0.17578263580799103
2019-04-16-07-41,0.18032996356487274
2019-04-16-07-42,0.22545994818210602
2019-04-16-07-43,0.22252540290355682
2019-04-16-07-44,0.24042972922325134
2019-04-16-07-45,0.2204315960407257
2019-04-16-07-46,0.2034800499677658
2019-04-16-07-47,0.19018439948558807
2019-04-16-07-48,0.18341849744319916
2019-04-16-07-49,0.1735776662826538
2019-04-16-07-50,0.17957335710525513
2019-04-16-07-51,0.1970161646604538
2019-04-16-07-52,0.18469856679439545
2019-04-16-07-53,0.2103036642074585
2019-04-16-07-54,0.24207133054733276
2019-04-16-07-55,0.17084087431430817
2019-04-16-07-56,0.18934716284275055
2019-04-16-07-57,0.1984361857175827
2019-04-16-07-58,0.19915007054805756
2019-04-16-07-59,0.19493776559829712
2019-04-16-08-00,0.2066786140203476
2019-04-16-08-01,0.16976332664489746
2019-04-16-08-02,0.17624160647392273
2019-04-16-08-03,0.20277732610702515
2019-04-16-08-04,0.19336587190628052
2019-04-16-08-05,0.2091854214668274
2019-04-16-08-06,0.19589878618717194
2019-04-16-08-07,0.20190544426441193
2019-04-16-08-08,0.23695603013038635
2019-04-16-08-09,0.19477254152297974
2019-04-16-08-10,0.1917421519756317
2019-04-16-08-11,0.19413040578365326
2019-04-16-08-12,0.21074777841567993
2019-04-16-08-13,0.19570283591747284
2019-04-16-08-14,0.2372346669435501
2019-04-16-08-15,0.2148055136203766
2019-04-16-08-16,0.1925533562898636
2019-04-16-08-17,0.19216467440128326
2019-04-16-08-18,0.23177176713943481
2019-04-16-08-19,0.19898304343223572
2019-04-16-08-20,0.18422356247901917
2019-04-16-08-21,0.20665723085403442
2019-04-16-08-22,0.19410811364650726
2019-04-16-08-23,0.1995828002691269
2019-04-16-08-24,0.21868444979190826
2019-04-16-08-25,0.18020635843276978
2019-04-16-08-26,0.17833347618579865
2019-04-16-08-27,0.180279940366745
2019-04-16-08-28,0.1894877851009369
2019-04-16-08-29,0.21586936712265015
2019-04-16-08-30,0.183558389544487
2019-04-16-08-31,0.18932271003723145
2019-04-16-08-32,0.1869884580373764
2019-04-16-08-33,0.18225108087062836
2019-04-16-08-34,0.19315990805625916
2019-04-16-08-35,0.18925558030605316
2019-04-16-08-36,0.1953868418931961
2019-04-16-08-37,0.19869108498096466
2019-04-16-08-38,0.2050744593143463
2019-04-16-08-39,0.21644125878810883
2019-04-16-08-40,0.18694576621055603
2019-04-16-08-41,0.21046629548072815
2019-04-16-08-42,0.23281463980674744
2019-04-16-08-43,0.19600921869277954
2019-04-16-08-44,0.187473326921463
2019-04-16-08-45,0.1786223202943802
2019-04-16-08-46,0.163486048579216
2019-04-16-08-47,0.20365339517593384
2019-04-16-08-48,0.2065741866827011
2019-04-16-08-49,0.17253857851028442
2019-04-16-08-50,0.16132226586341858
2019-04-16-08-51,0.20244315266609192
2019-04-16-08-52,0.17196694016456604
2019-04-16-08-53,0.17987790703773499
2019-04-16-08-54,0.1886265128850937
2019-04-16-08-55,0.1847020983695984
2019-04-16-08-56,0.17071503400802612
2019-04-16-08-57,0.1859409511089325
2019-04-16-08-58,0.1738521307706833
2019-04-16-08-59,0.18024583160877228
2019-04-16-09-00,0.19236193597316742
2019-04-16-09-01,0.16682150959968567
2019-04-16-09-02,0.1836288422346115
2019-04-16-09-03,0.1854758858680725
2019-04-16-09-04,0.1675579845905304
2019-04-16-09-05,0.15543825924396515
2019-04-16-09-06,0.16670936346054077
2019-04-16-09-07,0.15635767579078674
2019-04-16-09-08,0.16539610922336578
2019-04-16-09-09,0.18104301393032074
2019-04-16-09-10,0.18807938694953918
2019-04-16-09-11,0.2206793874502182
2019-04-16-09-12,0.20223578810691833
2019-04-16-09-13,0.15346470475196838
2019-04-16-09-14,0.1594080924987793
2019-04-16-09-15,0.17728827893733978
2019-04-16-09-16,0.17264923453330994
2019-04-16-09-17,0.17325370013713837
2019-04-16-09-18,0.1768299788236618
2019-04-16-09-19,0.16300112009048462
2019-04-16-09-20,0.153471902012825
2019-04-16-09-21,0.15646453201770782
2019-04-16-09-22,0.18139107525348663
2019-04-16-09-23,0.19644100964069366
2019-04-16-09-24,0.1915106326341629
2019-04-16-09-25,0.17176255583763123
2019-04-16-09-26,0.16766318678855896
2019-04-16-09-27,0.18772563338279724
2019-04-16-09-28,0.15171974897384644
2019-04-16-09-29,0.16108834743499756
2019-04-16-09-30,0.15848994255065918
2019-04-16-09-31,0.18077592551708221
2019-04-16-09-32,0.17398616671562195
2019-04-16-09-33,0.19168215990066528
2019-04-16-09-34,0.17935460805892944
2019-04-16-09-35,0.2062714844942093
2019-04-16-09-36,0.18356473743915558
2019-04-16-09-37,0.17633087933063507
2019-04-16-09-38,0.21026462316513062
2019-04-16-09-39,0.1816522628068924
2019-04-16-09-40,0.1750623732805252
2019-04-16-09-41,0.16347672045230865
2019-04-16-09-42,0.19374263286590576
2019-04-16-09-43,0.1861642450094223
2019-04-16-09-44,0.17982862889766693
2019-04-16-09-45,0.22612328827381134
2019-04-16-09-46,0.2189590036869049
2019-04-16-09-47,0.21113832294940948
2019-04-16-09-48,0.20163314044475555
2019-04-16-09-49,0.18517576158046722
2019-04-16-09-50,0.19074101746082306
2019-04-16-09-51,0.20497149229049683
2019-04-16-09-52,0.19353795051574707
2019-04-16-09-53,0.19027283787727356
2019-04-16-09-54,0.20063036680221558
2019-04-16-09-55,0.20022059977054596
2019-04-16-09-56,0.20174182951450348
2019-04-16-09-57,0.275407075881958
2019-04-16-09-58,0.20469054579734802
2019-04-16-09-59,0.23055921494960785
2019-04-16-10-00,0.19028006494045258
2019-04-16-10-01,0.20076769590377808
2019-04-16-10-02,0.1917407214641571
2019-04-16-10-03,0.19935071468353271
2019-04-16-10-04,0.2114645540714264
2019-04-16-10-05,0.21277937293052673
2019-04-16-10-06,0.22861343622207642
2019-04-16-10-07,0.27828526496887207
2019-04-16-10-08,0.22489984333515167
2019-04-16-10-09,0.2246967852115631
2019-04-16-10-10,0.20690090954303741
2019-04-16-10-11,0.20934003591537476
2019-04-16-10-12,0.22222119569778442
2019-04-16-10-13,0.23473598062992096
2019-04-16-10-14,0.23042277991771698
2019-04-16-10-15,0.21776603162288666
2019-04-16-10-16,0.21504169702529907
2019-04-16-10-17,0.22659365832805634
2019-04-16-10-18,0.238373264670372
2019-04-16-10-19,0.2273004800081253
2019-04-16-10-20,0.2410833239555359
2019-04-16-10-21,0.22921545803546906
2019-04-16-10-22,0.2216997891664505
2019-04-16-10-23,0.2604537904262543
2019-04-16-10-24,0.2334478497505188
2019-04-16-10-25,0.22408394515514374
2019-04-16-10-26,0.25706321001052856
2019-04-16-10-27,0.2349170297384262
2019-04-16-10-28,0.2408381551504135
2019-04-16-10-29,0.22673223912715912
2019-04-16-10-30,0.23599615693092346
2019-04-16-10-31,0.2543562352657318
2019-04-16-10-32,0.2480684369802475
2019-04-16-10-33,0.25238099694252014
2019-04-16-10-34,0.26435062289237976
2019-04-16-10-35,0.2397783398628235
2019-04-16-10-36,0.26235440373420715
2019-04-16-10-37,0.24198603630065918
2019-04-16-10-38,0.24446439743041992
2019-04-16-10-39,0.2189537137746811
2019-04-16-10-40,0.2564142346382141
2019-04-16-10-41,0.2399553805589676
2019-04-16-10-42,0.26779866218566895
2019-04-16-10-43,0.2360999435186386
2019-04-16-10-44,0.23461677134037018
2019-04-16-10-45,0.23466579616069794
2019-04-16-10-46,0.22703611850738525
2019-04-16-10-47,0.22221192717552185
2019-04-16-10-48,0.22423884272575378
2019-04-16-10-49,0.22548526525497437
2019-04-16-10-50,0.23391616344451904
2019-04-16-10-51,0.273164302110672
2019-04-16-10-52,0.23951256275177002
2019-04-16-10-53,0.2413284331560135
2019-04-16-10-54,0.280448317527771
2019-04-16-10-55,0.24814556539058685
2019-04-16-10-56,0.24129758775234222
2019-04-16-10-57,0.23667985200881958
2019-04-16-10-58,0.2598186433315277
2019-04-16-10-59,0.21972599625587463
2019-04-16-11-00,0.2329394817352295
2019-04-16-11-01,0.24436870217323303
2019-04-16-11-02,0.24293109774589539
2019-04-16-11-03,0.22992414236068726
2019-04-16-11-04,0.22654989361763
2019-04-16-11-05,0.2518314719200134
2019-04-16-11-06,0.23649682104587555
2019-04-16-11-07,0.2810920476913452
2019-04-16-11-08,0.2339276373386383
2019-04-16-11-09,0.230091854929924
2019-04-16-11-10,0.23706749081611633
2019-04-16-11-11,0.21859726309776306
2019-04-16-11-12,0.2244042009115219
2019-04-16-11-13,0.20969516038894653
