localdatetime,predict
2019-04-19-00-39,0.11450821161270142
2019-04-19-00-40,0.077884241938591
2019-04-19-00-41,0.07366669178009033
2019-04-19-00-42,0.13940297067165375
2019-04-19-00-43,0.0833565890789032
2019-04-19-00-44,0.09332486242055893
2019-04-19-00-45,0.09492126852273941
2019-04-19-00-46,0.10073412954807281
2019-04-19-00-47,0.07227641344070435
2019-04-19-00-48,0.10327528417110443
2019-04-19-00-49,0.06959103792905807
2019-04-19-00-50,0.11045685410499573
2019-04-19-00-51,0.0825374573469162
2019-04-19-00-52,0.06873660534620285
2019-04-19-00-53,0.07896000891923904
2019-04-19-00-54,0.07191512733697891
2019-04-19-00-55,0.07764751464128494
2019-04-19-00-56,0.07156746089458466
2019-04-19-00-57,0.07771754264831543
2019-04-19-00-58,0.0768771767616272
2019-04-19-00-59,0.07362530380487442
2019-04-19-01-00,0.09480293840169907
2019-04-19-01-01,0.07549341022968292
2019-04-19-01-02,0.08512432128190994
2019-04-19-01-03,0.12301048636436462
2019-04-19-01-04,0.07045544683933258
2019-04-19-01-05,0.06997944414615631
2019-04-19-01-06,0.12042791396379471
2019-04-19-01-07,0.08466526865959167
2019-04-19-01-08,0.07580205798149109
2019-04-19-01-09,0.09522710740566254
2019-04-19-01-10,0.09697620570659637
2019-04-19-01-11,0.09783629328012466
2019-04-19-01-12,0.10699327290058136
2019-04-19-01-13,0.08691759407520294
2019-04-19-01-14,0.08205185830593109
2019-04-19-01-15,0.13523584604263306
2019-04-19-01-16,0.10724760591983795
2019-04-19-01-17,0.07692721486091614
2019-04-19-01-18,0.11011680960655212
2019-04-19-01-19,0.0806940495967865
2019-04-19-01-20,0.07081782072782516
2019-04-19-01-21,0.07219318300485611
2019-04-19-01-22,0.1280142366886139
2019-04-19-01-23,0.06654763966798782
2019-04-19-01-24,0.07288676500320435
2019-04-19-01-25,0.11206749081611633
2019-04-19-01-26,0.09936553239822388
2019-04-19-01-27,0.12429039925336838
2019-04-19-01-28,0.08515691757202148
2019-04-19-01-29,0.1010303720831871
2019-04-19-01-30,0.13537144660949707
2019-04-19-01-31,0.10964889079332352
2019-04-19-01-32,0.07516948133707047
2019-04-19-01-33,0.12088029831647873
2019-04-19-01-34,0.0777943953871727
2019-04-19-01-35,0.0705401748418808
2019-04-19-01-36,0.06488577276468277
2019-04-19-01-37,0.09879861772060394
2019-04-19-01-38,0.05776215344667435
2019-04-19-01-39,0.08336741477251053
2019-04-19-01-40,0.06243760138750076
2019-04-19-01-41,0.11661764979362488
2019-04-19-01-42,0.07428543269634247
2019-04-19-01-43,0.060413990169763565
2019-04-19-01-44,0.07225136458873749
2019-04-19-01-45,0.11517387628555298
2019-04-19-01-46,0.09799228608608246
2019-04-19-01-47,0.06961685419082642
