localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-16-20-57-09,b'cloudy',0,Overcast,59.55,1555462629,0,8.37
2019-04-18-09-22-52,b'cloudy',0.07,Overcast,53.36,1555593772,2,6.95
2019-04-18-07-17-50,b'cloudy',0,Overcast,51.08,1555586270,0,6.61
2019-04-18-07-22-50,b'cloudy',0,Overcast,51.05,1555586570,0,6.86
2019-04-17-08-32-23,b'partly-cloudy-day',0,Mostly Cloudy,50.97,1555504343,1,0.81
2019-04-17-06-32-21,b'cloudy',0,Overcast,47.89,1555497141,0,3.05
2019-04-18-08-12-51,b'cloudy',0,Overcast,53.13,1555589571,1,6.51
2019-04-18-09-17-52,b'cloudy',0.11,Overcast,53.42,1555593472,2,6.95
2019-04-18-19-33-06,b'partly-cloudy-day',0,Mostly Cloudy,57.83,1555630386,0,3.46
2019-04-18-21-13-07,b'rain',1,Drizzle,57.53,1555636387,0,4.68
2019-04-17-10-17-25,b'cloudy',0,Overcast,55.61,1555510645,3,5.32
2019-04-16-21-07-09,b'cloudy',0,Overcast,59.24,1555463229,0,8.31
2019-04-18-10-27-54,b'cloudy',0,Overcast,53.12,1555597674,3,7.26
2019-04-17-16-32-32,b'clear-day',0,Clear,60.03,1555533152,3,7.87
2019-04-18-10-07-53,b'cloudy',0,Overcast,53.42,1555596473,3,7.11
2019-04-18-03-57-46,b'cloudy',0,Overcast,51.52,1555574266,0,7.17
2019-04-16-21-42-10,b'cloudy',0,Overcast,58.01,1555465330,0,7.92
2019-04-18-12-42-56,b'rain',0.81,Drizzle,53.6,1555605776,4,7.3
2019-04-17-06-37-21,b'cloudy',0,Overcast,47.84,1555497441,0,3.03
2019-04-18-08-47-52,b'cloudy',0,Overcast,53.72,1555591672,1,6.85
2019-04-17-20-02-37,b'partly-cloudy-night',0,Partly Cloudy,51.44,1555545757,0,7.23
2019-04-18-01-22-43,b'rain',0.97,Drizzle,51.6,1555564963,0,6.26
2019-04-18-00-57-42,b'rain',0.81,Drizzle,51.78,1555563462,0,6.19
2019-04-16-19-57-08,b'partly-cloudy-night',0,Mostly Cloudy,60.57,1555459028,0,8.51
2019-04-16-23-07-11,b'rain',1,Light Rain,56.93,1555470431,0,7.87
2019-04-18-18-23-04,b'partly-cloudy-day',0,Mostly Cloudy,59.75,1555626184,0,4.56
2019-04-16-21-47-10,b'partly-cloudy-night',0,Partly Cloudy,57.78,1555465630,0,8.49
2019-04-17-13-57-29,b'partly-cloudy-day',0,Partly Cloudy,60.63,1555523849,6,4.25
2019-04-17-11-12-26,b'cloudy',0,Overcast,56.78,1555513946,3,4.75
2019-04-17-22-27-40,b'partly-cloudy-night',0,Mostly Cloudy,50.9,1555554460,0,2.71
2019-04-17-01-27-15,b'cloudy',0.54,Overcast,52.88,1555478835,0,6.37
2019-04-17-18-52-35,b'partly-cloudy-day',0,Partly Cloudy,55.04,1555541555,0,8.15
2019-04-17-08-27-23,b'partly-cloudy-day',0,Mostly Cloudy,50.84,1555504043,1,0.77
2019-04-18-18-13-03,b'partly-cloudy-day',0,Mostly Cloudy,59.85,1555625583,0,4.64
2019-04-18-06-32-49,b'partly-cloudy-day',0,Mostly Cloudy,51.43,1555583569,0,5.37
2019-04-17-17-17-33,b'clear-day',0,Clear,59.71,1555535853,1,7.01
2019-04-18-17-08-02,b'partly-cloudy-day',0,Mostly Cloudy,58.95,1555621682,1,4.7
2019-04-18-00-07-41,b'cloudy',0.79,Overcast,51.03,1555560461,0,3.6
2019-04-17-20-17-37,b'partly-cloudy-night',0,Partly Cloudy,50.25,1555546657,0,7.31
2019-04-17-09-37-25,b'partly-cloudy-day',0,Mostly Cloudy,53.97,1555508245,2,3.31
2019-04-16-17-27-05,b'clear-day',0,Clear,65.85,1555450025,1,9.67
2019-04-17-09-22-24,b'cloudy',0,Overcast,53.36,1555507344,2,3.18
2019-04-17-10-37-26,b'cloudy',0,Overcast,56.4,1555511846,3,5.4
2019-04-17-09-27-24,b'partly-cloudy-day',0,Mostly Cloudy,53.56,1555507644,2,3.22
2019-04-17-18-57-35,b'partly-cloudy-day',0,Partly Cloudy,54.75,1555541855,0,8.15
2019-04-17-18-42-35,b'partly-cloudy-day',0,Partly Cloudy,55.37,1555540955,0,8.52
2019-04-18-11-42-55,b'cloudy',0.04,Overcast,52.78,1555602175,3,8.82
2019-04-16-17-17-04,b'clear-day',0,Clear,65.95,1555449424,1,9.79
2019-04-17-02-07-16,b'rain',1,Rain,50.91,1555481236,0,5.66
2019-04-17-23-27-41,b'cloudy',0,Overcast,50.98,1555558061,0,3.55
2019-04-18-13-12-57,b'cloudy',0,Overcast,54.52,1555607577,4,4.92
2019-04-17-23-17-41,b'cloudy',0,Overcast,51.04,1555557461,0,3.38
2019-04-17-19-02-36,b'partly-cloudy-day',0,Partly Cloudy,54.49,1555542156,0,8.12
2019-04-17-02-02-16,b'rain',1,Light Rain,51.01,1555480936,0,5.67
2019-04-18-19-53-06,b'partly-cloudy-night',0.01,Mostly Cloudy,57.5,1555631586,0,3.79
2019-04-18-08-07-51,b'cloudy',0,Overcast,53.13,1555589271,1,6.28
2019-04-17-10-22-25,b'cloudy',0,Overcast,55.81,1555510945,3,5.34
2019-04-17-05-02-19,b'rain',1,Drizzle,49.25,1555491739,0,3.95
2019-04-17-05-17-19,b'rain',0.88,Drizzle,49.14,1555492639,0,3.78
2019-04-17-07-02-21,b'cloudy',0,Overcast,48.91,1555498941,0,1.01
2019-04-16-23-37-12,b'rain',1,Light Rain,55.25,1555472232,0,7.19
2019-04-18-15-43-00,b'partly-cloudy-day',0,Mostly Cloudy,58.9,1555616580,3,6.97
2019-04-18-11-47-55,b'cloudy',0.09,Overcast,52.82,1555602475,3,8.78
2019-04-17-20-12-37,b'partly-cloudy-night',0,Partly Cloudy,50.26,1555546357,0,7.36
2019-04-17-08-52-24,b'partly-cloudy-day',0,Mostly Cloudy,51.7,1555505544,1,2.94
2019-04-18-13-27-58,b'partly-cloudy-day',0,Mostly Cloudy,55.12,1555608478,4,5.17
2019-04-18-06-07-49,b'partly-cloudy-night',0,Mostly Cloudy,51.41,1555582069,0,5.1
2019-04-18-08-22-51,b'cloudy',0,Overcast,53.28,1555590171,1,6.96
2019-04-18-22-34-39,b'partly-cloudy-night',0,Partly Cloudy,56.17,1555641279,0,3.28
2019-04-17-06-22-21,b'cloudy',0,Overcast,47.97,1555496541,0,3.08
2019-04-16-17-02-04,b'clear-day',0,Clear,66.43,1555448524,2,10.05
2019-04-16-22-52-11,b'rain',1,Drizzle,57.31,1555469531,0,7.97
2019-04-17-19-57-37,b'partly-cloudy-night',0,Partly Cloudy,51.59,1555545457,0,7.28
2019-04-18-09-12-52,b'rain',0.67,Drizzle,53.48,1555593172,2,6.95
2019-04-17-19-32-36,b'partly-cloudy-day',0,Partly Cloudy,53.06,1555543956,0,7.77
2019-04-18-00-27-42,b'cloudy',0,Overcast,50.96,1555561662,0,3.72
2019-04-18-14-32-59,b'partly-cloudy-day',0,Mostly Cloudy,56.26,1555612379,4,5.34
2019-04-18-13-07-57,b'cloudy',0,Overcast,54.32,1555607277,4,4.84
2019-04-17-20-57-38,b'partly-cloudy-night',0,Mostly Cloudy,51.09,1555549058,0,6.47
2019-04-17-11-02-26,b'cloudy',0,Overcast,56.49,1555513346,3,4.79
2019-04-17-13-27-29,b'partly-cloudy-day',0,Partly Cloudy,61,1555522049,5,3.54
2019-04-17-04-52-19,b'rain',0.94,Drizzle,49.37,1555491139,0,4.05
2019-04-18-00-42-42,b'rain',1,Drizzle,50.76,1555562562,0,3.82
2019-04-17-01-22-15,b'rain',0.99,Drizzle,53.04,1555478535,0,6.28
2019-04-17-06-27-21,b'cloudy',0,Overcast,47.93,1555496841,0,3.06
2019-04-17-13-22-29,b'partly-cloudy-day',0,Partly Cloudy,60.83,1555521749,5,3.43
2019-04-18-15-18-00,b'partly-cloudy-day',0,Mostly Cloudy,57.27,1555615080,3,6.21
2019-04-18-12-37-56,b'cloudy',0.23,Overcast,53.53,1555605476,4,7.28
2019-04-17-06-17-21,b'cloudy',0,Overcast,48.02,1555496241,0,3.1
2019-04-17-01-52-16,b'rain',1,Light Rain,51.41,1555480336,0,5.37
2019-04-18-11-57-56,b'cloudy',0.05,Overcast,53.92,1555603076,4,5.82
2019-04-18-18-03-03,b'partly-cloudy-day',0,Mostly Cloudy,59.95,1555624983,1,4.72
2019-04-17-17-52-34,b'clear-day',0,Clear,58.31,1555537954,1,8.52
2019-04-17-00-17-13,b'rain',1,Light Rain,54.63,1555474633,0,7.15
2019-04-17-20-22-37,b'partly-cloudy-night',0,Partly Cloudy,50.25,1555546957,0,7.27
2019-04-18-01-17-43,b'partly-cloudy-night',0,Mostly Cloudy,51.63,1555564663,0,6.24
2019-04-17-13-37-29,b'partly-cloudy-day',0,Partly Cloudy,61.35,1555522649,5,3.79
2019-04-17-01-32-15,b'cloudy',0.01,Overcast,52.72,1555479135,0,6.46
2019-04-17-07-42-22,b'partly-cloudy-day',0,Mostly Cloudy,49.13,1555501342,0,0.44
2019-04-17-14-17-30,b'partly-cloudy-day',0,Partly Cloudy,60.84,1555525050,5,4.66
2019-04-18-01-12-43,b'rain',1,Drizzle,51.76,1555564363,0,6.6
2019-04-17-11-22-26,b'cloudy',0,Overcast,56.62,1555514546,3,5.05
2019-04-17-11-17-26,b'cloudy',0,Overcast,56.48,1555514246,3,5.06
2019-04-17-21-07-38,b'partly-cloudy-night',0,Mostly Cloudy,51.01,1555549658,0,6.26
2019-04-18-08-52-52,b'cloudy',0,Overcast,53.7,1555591972,1,7.03
2019-04-16-18-02-05,b'clear-day',0,Clear,65.37,1555452125,1,11.55
2019-04-17-17-22-33,b'clear-day',0,Clear,59.59,1555536153,1,7.1
2019-04-18-05-12-48,b'partly-cloudy-night',0,Mostly Cloudy,51.39,1555578768,0,4.51
2019-04-18-18-18-04,b'partly-cloudy-day',0,Mostly Cloudy,59.8,1555625884,0,4.6
2019-04-17-06-02-20,b'cloudy',0,Overcast,48.14,1555495340,0,3.15
2019-04-18-00-37-42,b'rain',0.91,Drizzle,50.8,1555562262,0,3.79
2019-04-16-18-37-06,b'clear-day',0,Clear,64.23,1555454226,0,10.77
2019-04-17-11-27-27,b'cloudy',0,Overcast,56.76,1555514847,3,5.03
2019-04-18-18-08-03,b'partly-cloudy-day',0,Mostly Cloudy,59.9,1555625283,0,4.68
2019-04-19-18-40-04,b'partly-cloudy-day',0,Mostly Cloudy,69.55,1555713604,0,9.84
2019-04-17-10-42-26,b'cloudy',0,Overcast,55.73,1555512146,3,4.47
2019-04-19-08-39-51,b'partly-cloudy-day',0,Partly Cloudy,63.98,1555677591,2,7.97
2019-04-19-08-19-50,b'partly-cloudy-day',0,Partly Cloudy,63.54,1555676390,1,7.66
2019-04-19-07-49-50,b'partly-cloudy-day',0,Partly Cloudy,62.79,1555674590,1,6.79
2019-04-19-16-35-01,b'partly-cloudy-day',0,Mostly Cloudy,76.32,1555706101,2,9.24
2019-04-19-12-59-56,b'partly-cloudy-day',0,Mostly Cloudy,73.55,1555693196,6,8.31
2019-04-19-10-34-53,b'partly-cloudy-day',0,Mostly Cloudy,67.9,1555684493,4,9.11
2019-04-19-16-00-00,b'cloudy',0,Overcast,77.27,1555704000,3,9.58
2019-04-19-17-25-02,b'partly-cloudy-day',0,Mostly Cloudy,71.27,1555709102,1,9.62
2019-04-19-15-24-59,b'partly-cloudy-day',0,Mostly Cloudy,76.38,1555701899,4,11.15
2019-04-19-13-49-57,b'rain',0.8,Drizzle,75.34,1555696197,5,8.22
2019-04-19-13-39-57,b'partly-cloudy-day',0,Mostly Cloudy,75.25,1555695597,6,9.83
2019-04-19-18-00-03,b'partly-cloudy-day',0,Partly Cloudy,71.94,1555711203,1,11.76
2019-04-19-06-39-48,b'partly-cloudy-day',0,Partly Cloudy,60.24,1555670388,0,5.01
2019-04-19-14-19-58,b'partly-cloudy-day',0,Mostly Cloudy,75.79,1555697998,5,9.27
2019-04-19-08-24-50,b'partly-cloudy-day',0,Partly Cloudy,63.65,1555676690,1,7.73
2019-04-19-06-29-48,b'partly-cloudy-day',0,Partly Cloudy,60.01,1555669788,0,5.74
2019-04-19-17-20-02,b'partly-cloudy-day',0,Mostly Cloudy,71.54,1555708802,1,9.62
2019-04-19-14-09-58,b'partly-cloudy-day',0,Mostly Cloudy,75.75,1555697398,5,9.05
2019-04-19-13-54-57,b'partly-cloudy-day',0,Mostly Cloudy,75.56,1555696497,5,8.34
2019-04-19-14-44-58,b'partly-cloudy-day',0,Mostly Cloudy,75.79,1555699498,5,10.97
2019-04-19-00-54-41,b'clear-night',0,Clear,55.56,1555649681,0,5.35
2019-04-19-05-34-47,b'partly-cloudy-night',0,Partly Cloudy,59.07,1555666487,0,10.27
2019-04-19-07-14-49,b'partly-cloudy-day',0,Mostly Cloudy,62.19,1555672489,0,6.7
2019-04-19-15-09-59,b'partly-cloudy-day',0,Mostly Cloudy,76.41,1555700999,4,11.14
2019-04-19-07-04-49,b'partly-cloudy-day',0,Mostly Cloudy,61.94,1555671889,0,6.35
2019-04-19-16-40-01,b'cloudy',0,Overcast,76.76,1555706401,2,9.1
2019-04-19-04-59-46,b'partly-cloudy-night',0,Partly Cloudy,59.01,1555664386,0,9.66
2019-04-19-11-29-54,b'partly-cloudy-day',0,Mostly Cloudy,70.1,1555687794,5,8.73
2019-04-19-15-29-59,b'partly-cloudy-day',0,Mostly Cloudy,76.38,1555702199,4,11.17
2019-04-18-21-48-11,b'clear-night',0,Clear,56.55,1555638491,0,3.09
2019-04-18-22-29-38,b'partly-cloudy-night',0,Partly Cloudy,56.21,1555640978,0,3.27
2019-04-18-20-43-07,b'partly-cloudy-night',0,Partly Cloudy,57.02,1555634587,0,4.25
2019-04-19-10-24-53,b'partly-cloudy-day',0,Mostly Cloudy,67.67,1555683893,4,9.11
2019-04-19-01-59-43,b'partly-cloudy-night',0,Partly Cloudy,56.91,1555653583,0,5.76
2019-04-19-12-14-55,b'partly-cloudy-day',0,Mostly Cloudy,70.22,1555690495,6,6.14
2019-04-19-15-39-59,b'partly-cloudy-day',0,Mostly Cloudy,77.6,1555702799,3,11.41
2019-04-19-01-19-42,b'clear-night',0,Clear,55.74,1555651182,0,5.83
2019-04-18-22-44-39,b'clear-night',0,Clear,56,1555641879,0,3.42
2019-04-19-01-49-42,b'partly-cloudy-night',0,Partly Cloudy,55.85,1555652982,0,5.63
2019-04-19-04-34-46,b'clear-night',0,Clear,58.69,1555662886,0,9.05
2019-04-19-12-34-55,b'partly-cloudy-day',0,Mostly Cloudy,71.24,1555691695,6,6.65
2019-04-19-06-14-48,b'partly-cloudy-night',0,Partly Cloudy,59.88,1555668888,0,5.61
2019-04-19-08-54-51,b'partly-cloudy-day',0,Mostly Cloudy,63.43,1555678491,2,7.78
2019-04-18-22-59-39,b'clear-night',0,Clear,56.38,1555642779,0,2.16
2019-04-19-05-19-47,b'partly-cloudy-night',0,Partly Cloudy,58.99,1555665587,0,9.86
2019-04-19-17-50-03,b'partly-cloudy-day',0,Partly Cloudy,72.44,1555710603,1,11.76
2019-04-19-13-24-57,b'partly-cloudy-day',0,Mostly Cloudy,74.62,1555694697,6,9.11
2019-04-19-11-54-55,b'partly-cloudy-day',0,Mostly Cloudy,69.41,1555689295,5,5.79
2019-04-19-03-54-45,b'clear-night',0,Clear,58.6,1555660485,0,8.34
2019-04-19-02-54-44,b'clear-night',0.27,Clear,57.98,1555656884,0,5.67
2019-04-19-18-30-04,b'partly-cloudy-day',0,Mostly Cloudy,70.03,1555713004,0,11.26
2019-04-19-15-50-00,b'partly-cloudy-day',0,Mostly Cloudy,77.26,1555703400,3,9.61
2019-04-19-00-04-40,b'partly-cloudy-night',0,Partly Cloudy,55.01,1555646680,0,3.24
2019-04-19-02-29-43,b'clear-night',0,Clear,57.83,1555655383,0,6.31
2019-04-19-09-59-52,b'partly-cloudy-day',0,Mostly Cloudy,67.1,1555682392,3,9.1
2019-04-19-18-05-03,b'partly-cloudy-day',0,Partly Cloudy,71.63,1555711503,1,11.68
2019-04-19-08-44-51,b'partly-cloudy-day',0,Mostly Cloudy,63.36,1555677891,2,7.25
2019-04-19-16-25-01,b'partly-cloudy-day',0,Mostly Cloudy,76.59,1555705501,3,9.32
2019-04-19-07-44-50,b'partly-cloudy-day',0,Mostly Cloudy,62.96,1555674290,1,7.75
2019-04-19-04-49-46,b'clear-night',0,Clear,58.99,1555663786,0,9.48
2019-04-19-08-04-50,b'partly-cloudy-day',0,Partly Cloudy,63.29,1555675490,1,7.32
2019-04-18-21-33-08,b'clear-night',0,Clear,57.29,1555637588,0,4.65
2019-04-19-08-14-50,b'partly-cloudy-day',0,Partly Cloudy,63.43,1555676090,1,7.58
2019-04-19-13-04-56,b'partly-cloudy-day',0,Mostly Cloudy,73.77,1555693496,6,8.47
2019-04-19-07-54-50,b'partly-cloudy-day',0,Partly Cloudy,62.99,1555674890,1,7.01
2019-04-19-01-34-42,b'clear-night',0,Clear,55.96,1555652082,0,6.05
2019-04-19-04-24-46,b'clear-night',0,Clear,58.67,1555662286,0,8.86
2019-04-19-03-34-45,b'clear-night',0,Clear,58.15,1555659285,0,6.35
2019-04-19-00-19-41,b'partly-cloudy-night',0,Partly Cloudy,55.14,1555647581,0,3.39
2019-04-19-16-55-02,b'partly-cloudy-day',0,Partly Cloudy,73.21,1555707302,2,9.56
2019-04-19-17-55-03,b'partly-cloudy-day',0,Partly Cloudy,72.19,1555710903,1,11.76
2019-04-19-18-10-04,b'partly-cloudy-day',0,Partly Cloudy,71.31,1555711804,1,11.59
2019-04-19-09-14-51,b'partly-cloudy-day',0,Mostly Cloudy,64.08,1555679691,2,8.01
2019-04-19-13-29-57,b'partly-cloudy-day',0,Mostly Cloudy,74.82,1555694997,6,9.49
2019-04-19-05-44-47,b'partly-cloudy-night',0,Mostly Cloudy,58.75,1555667087,0,9.88
2019-04-19-13-59-57,b'cloudy',0,Overcast,75.7,1555696797,5,8.83
2019-04-19-05-59-48,b'partly-cloudy-night',0,Partly Cloudy,59.75,1555667988,0,5.5
2019-04-19-12-19-55,b'partly-cloudy-day',0,Mostly Cloudy,70.47,1555690795,6,6.27
2019-04-19-12-44-56,b'partly-cloudy-day',0,Mostly Cloudy,72.21,1555692296,5,7.63
2019-04-19-03-19-44,b'clear-night',0,Clear,58.11,1555658384,0,6.21
2019-04-19-00-29-41,b'partly-cloudy-night',0,Partly Cloudy,55.23,1555648181,0,3.49
2019-04-19-05-24-47,b'partly-cloudy-night',0,Partly Cloudy,58.98,1555665887,0,9.92
2019-04-19-09-39-52,b'partly-cloudy-day',0,Mostly Cloudy,64.9,1555681192,3,8.26
2019-04-19-16-30-01,b'partly-cloudy-day',0,Mostly Cloudy,76.45,1555705801,2,9.28
2019-04-19-10-59-53,b'partly-cloudy-day',0,Mostly Cloudy,69.27,1555685993,4,8.45
2019-04-19-16-50-01,b'partly-cloudy-day',0,Mostly Cloudy,73.4,1555707001,2,9.74
2019-04-19-10-09-53,b'partly-cloudy-day',0,Mostly Cloudy,67.33,1555682993,3,9.1
2019-04-19-09-24-52,b'partly-cloudy-day',0,Mostly Cloudy,64.41,1555680292,3,8.11
2019-04-19-09-49-52,b'partly-cloudy-day',0,Mostly Cloudy,66.77,1555681792,3,8.97
2019-04-19-02-59-44,b'clear-night',0.5,Clear,58.06,1555657184,0,5.8
2019-04-19-09-34-52,b'partly-cloudy-day',0,Mostly Cloudy,64.74,1555680892,3,8.21
2019-04-19-09-09-51,b'partly-cloudy-day',0,Mostly Cloudy,63.92,1555679391,2,7.96
2019-04-19-10-29-53,b'partly-cloudy-day',0,Mostly Cloudy,67.79,1555684193,4,9.11
2019-04-19-00-39-41,b'partly-cloudy-night',0,Partly Cloudy,55.32,1555648781,0,3.59
2019-04-19-17-05-02,b'partly-cloudy-day',0,Mostly Cloudy,72.75,1555707902,2,9.35
2019-04-19-01-24-42,b'clear-night',0,Clear,55.78,1555651482,0,5.92
2019-04-19-11-44-54,b'partly-cloudy-day',0,Mostly Cloudy,69.7,1555688694,5,5.79
2019-04-19-11-19-54,b'partly-cloudy-day',0,Mostly Cloudy,69.87,1555687194,5,8.66
2019-04-19-11-09-54,b'partly-cloudy-day',0,Mostly Cloudy,69.48,1555686594,5,8.51
2019-04-19-11-04-54,b'partly-cloudy-day',0,Mostly Cloudy,69.38,1555686294,4,8.48
2019-04-19-09-44-52,b'partly-cloudy-day',0,Mostly Cloudy,66.38,1555681492,3,8.36
2019-04-19-12-39-56,b'partly-cloudy-day',0,Mostly Cloudy,71.5,1555691996,6,6.77
2019-04-19-01-39-42,b'clear-night',0,Clear,56,1555652382,0,6.13
2019-04-19-03-04-44,b'clear-night',0.08,Clear,58.07,1555657484,0,5.86
2019-04-19-09-19-51,b'partly-cloudy-day',0,Mostly Cloudy,64.25,1555679991,2,8.06
2019-04-19-00-34-41,b'partly-cloudy-night',0,Partly Cloudy,55.28,1555648481,0,3.54
2019-04-19-10-49-53,b'partly-cloudy-day',0,Mostly Cloudy,69.14,1555685393,4,8.51
2019-04-19-10-39-53,b'partly-cloudy-day',0,Mostly Cloudy,68.02,1555684793,4,9.11
2019-04-19-10-14-53,b'partly-cloudy-day',0,Mostly Cloudy,67.44,1555683293,4,9.11
2019-04-19-08-59-51,b'partly-cloudy-day',0,Mostly Cloudy,63.59,1555678791,2,7.86
2019-04-19-05-04-46,b'partly-cloudy-night',0,Partly Cloudy,59,1555664686,0,9.71
2019-04-19-16-45-01,b'cloudy',0,Overcast,76.57,1555706701,2,8.98
2019-04-19-06-34-48,b'partly-cloudy-day',0,Partly Cloudy,60.05,1555670088,0,5.78
2019-04-19-17-10-02,b'partly-cloudy-day',0,Mostly Cloudy,72.47,1555708202,2,9.32
2019-04-19-11-59-55,b'partly-cloudy-day',0,Mostly Cloudy,69.45,1555689595,6,5.77
2019-04-19-17-00-02,b'partly-cloudy-day',0,Partly Cloudy,73.03,1555707602,2,9.39
2019-04-19-09-04-51,b'partly-cloudy-day',0,Mostly Cloudy,63.75,1555679091,2,7.91
