localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-16-02-56-48,b'clear-night',0,Clear,46.44,1555397808,0,8.69
2019-04-17-16-57-33,b'clear-day',0,Clear,60.15,1555534653,2,6.67
2019-04-16-17-52-05,b'clear-day',0,Clear,65.49,1555451525,1,11.69
2019-04-17-21-37-38,b'partly-cloudy-night',0,Mostly Cloudy,50.88,1555551458,0,5.58
2019-04-16-00-06-44,b'partly-cloudy-night',0,Mostly Cloudy,47,1555387604,0,11.77
2019-04-16-09-51-56,b'clear-day',0,Clear,52.03,1555422716,3,11.68
2019-04-15-18-41-37,b'partly-cloudy-day',0,Mostly Cloudy,51.17,1555368097,0,10.96
2019-04-18-15-58-01,b'partly-cloudy-day',0,Mostly Cloudy,58.74,1555617481,3,5.06
2019-04-17-05-12-19,b'rain',1,Light Rain,49.18,1555492339,0,3.84
2019-04-18-07-32-50,b'cloudy',0,Overcast,50.99,1555587170,0,7.37
2019-04-14-22-11-11,b'rain',1,Light Rain,59.63,1555294271,0,3.53
2019-04-17-01-17-15,b'rain',1,Drizzle,53.21,1555478235,0,6.2
2019-04-16-03-11-48,b'clear-night',0,Clear,46.1,1555398708,0,8.5
2019-04-17-14-42-30,b'partly-cloudy-day',0,Partly Cloudy,61.73,1555526550,5,4.4
2019-04-18-11-12-55,b'cloudy',0,Overcast,53.22,1555600375,3,7.07
2019-04-17-19-07-36,b'partly-cloudy-day',0,Partly Cloudy,54.25,1555542456,0,8.06
2019-04-17-20-32-37,b'partly-cloudy-night',0,Partly Cloudy,50.24,1555547557,0,7.18
2019-04-16-12-51-59,b'clear-day',0,Clear,59.31,1555433519,7,11.75
2019-04-16-11-16-57,b'clear-day',0,Clear,55.71,1555427817,6,11.18
2019-04-16-06-31-52,b'clear-day',0,Clear,44.34,1555410712,0,8.82
2019-04-18-18-33-04,b'partly-cloudy-day',0,Mostly Cloudy,59.64,1555626784,0,4.49
2019-04-18-04-42-47,b'partly-cloudy-night',0,Mostly Cloudy,51.06,1555576967,0,7.16
2019-04-19-10-44-53,b'partly-cloudy-day',0,Mostly Cloudy,69.25,1555685093,4,8.4
2019-04-18-10-52-54,b'cloudy',0,Overcast,53.24,1555599174,3,7.15
2019-04-18-13-37-58,b'partly-cloudy-day',0,Mostly Cloudy,55.47,1555609078,4,5.29
2019-04-17-04-37-19,b'rain',1,Drizzle,49.34,1555490239,0,4.01
